commodityName,stat_year,market_month,volume,value,unit_value,vol_ytd,value_ytd
"Strawberries, import value and volume history by market year (Frozen)",2010,Jan,9518,5134148,0.54,9518,5134148
"Strawberries, import value and volume history by market year (Frozen)",2010,Feb,12791,7067456,0.55,22309,12201604
"Strawberries, import value and volume history by market year (Frozen)",2010,Mar,26860,15184392,0.57,49169,27385996
"Strawberries, import value and volume history by market year (Frozen)",2010,Apr,31862,17484961,0.55,81031,44870957
"Strawberries, import value and volume history by market year (Frozen)",2010,May,26435,14528684,0.55,107465,59399641
"Strawberries, import value and volume history by market year (Frozen)",2010,Jun,26906,14456351,0.54,134371,73855992
"Strawberries, import value and volume history by market year (Frozen)",2010,Jul,15397,8880295,0.58,149767,82736287
"Strawberries, import value and volume history by market year (Frozen)",2010,Aug,7710,4709679,0.61,157477,87445966
"Strawberries, import value and volume history by market year (Frozen)",2010,Sep,5478,3353764,0.61,162955,90799730
"Strawberries, import value and volume history by market year (Frozen)",2010,Oct,7412,4480720,0.60,170367,95280450
"Strawberries, import value and volume history by market year (Frozen)",2010,Nov,9095,5786598,0.64,179462,101067048
"Strawberries, import value and volume history by market year (Frozen)",2010,Dec,8580,5555257,0.65,188042,106622305
"Strawberries, import value and volume history by market year (Frozen)",2011,Jan,12768,8652784,0.68,12768,8652784
"Strawberries, import value and volume history by market year (Frozen)",2011,Feb,16091,10587403,0.66,28859,19240187
"Strawberries, import value and volume history by market year (Frozen)",2011,Mar,30995,19775711,0.64,59854,39015898
"Strawberries, import value and volume history by market year (Frozen)",2011,Apr,22926,14525582,0.63,82780,53541480
"Strawberries, import value and volume history by market year (Frozen)",2011,May,29229,18915672,0.65,112009,72457152
"Strawberries, import value and volume history by market year (Frozen)",2011,Jun,23429,15226195,0.65,135438,87683347
"Strawberries, import value and volume history by market year (Frozen)",2011,Jul,14846,9384622,0.63,150284,97067969
"Strawberries, import value and volume history by market year (Frozen)",2011,Aug,8884,5929081,0.67,159169,102997050
"Strawberries, import value and volume history by market year (Frozen)",2011,Sep,6481,4661407,0.72,165650,107658457
"Strawberries, import value and volume history by market year (Frozen)",2011,Oct,6481,5506149,0.85,172131,113164606
"Strawberries, import value and volume history by market year (Frozen)",2011,Nov,10686,8344969,0.78,182818,121509575
"Strawberries, import value and volume history by market year (Frozen)",2011,Dec,10322,8374419,0.81,193139,129883994
"Strawberries, import value and volume history by market year (Frozen)",2012,Jan,16007,11499989,0.72,16007,11499989
"Strawberries, import value and volume history by market year (Frozen)",2012,Feb,27954,20358314,0.73,43962,31858303
"Strawberries, import value and volume history by market year (Frozen)",2012,Mar,32430,22262003,0.69,76392,54120306
"Strawberries, import value and volume history by market year (Frozen)",2012,Apr,33993,22473231,0.66,110385,76593537
"Strawberries, import value and volume history by market year (Frozen)",2012,May,31512,19846731,0.63,141897,96440268
"Strawberries, import value and volume history by market year (Frozen)",2012,Jun,22019,13659493,0.62,163915,110099761
"Strawberries, import value and volume history by market year (Frozen)",2012,Jul,13385,8410196,0.63,177300,118509957
"Strawberries, import value and volume history by market year (Frozen)",2012,Aug,6889,4763378,0.69,184189,123273335
"Strawberries, import value and volume history by market year (Frozen)",2012,Sep,6664,4801200,0.72,190853,128074535
"Strawberries, import value and volume history by market year (Frozen)",2012,Oct,6738,5050346,0.75,197591,133124881
"Strawberries, import value and volume history by market year (Frozen)",2012,Nov,9027,6940271,0.77,206618,140065152
"Strawberries, import value and volume history by market year (Frozen)",2012,Dec,8994,6771989,0.75,215612,146837141
"Strawberries, import value and volume history by market year (Frozen)",2013,Jan,13222,8561967,0.65,13222,8561967
"Strawberries, import value and volume history by market year (Frozen)",2013,Feb,24239,15759927,0.65,37461,24321894
"Strawberries, import value and volume history by market year (Frozen)",2013,Mar,32938,21143986,0.64,70400,45465880
"Strawberries, import value and volume history by market year (Frozen)",2013,Apr,32360,20519535,0.63,102759,65985415
"Strawberries, import value and volume history by market year (Frozen)",2013,May,29433,18065720,0.61,132192,84051135
"Strawberries, import value and volume history by market year (Frozen)",2013,Jun,15779,9982229,0.63,147971,94033364
"Strawberries, import value and volume history by market year (Frozen)",2013,Jul,11494,7591794,0.66,159465,101625158
"Strawberries, import value and volume history by market year (Frozen)",2013,Aug,6236,4169148,0.67,165701,105794306
"Strawberries, import value and volume history by market year (Frozen)",2013,Sep,5363,3995062,0.74,171064,109789368
"Strawberries, import value and volume history by market year (Frozen)",2013,Oct,7822,5713226,0.73,178887,115502594
"Strawberries, import value and volume history by market year (Frozen)",2013,Nov,9519,7166993,0.75,188405,122669587
"Strawberries, import value and volume history by market year (Frozen)",2013,Dec,11019,8082747,0.73,199424,130752334
"Strawberries, import value and volume history by market year (Frozen)",2014,Jan,12290,9124404,0.74,12290,9124404
"Strawberries, import value and volume history by market year (Frozen)",2014,Feb,21452,14998415,0.70,33742,24122819
"Strawberries, import value and volume history by market year (Frozen)",2014,Mar,38642,26425814,0.68,72384,50548633
"Strawberries, import value and volume history by market year (Frozen)",2014,Apr,30303,20911668,0.69,102687,71460301
"Strawberries, import value and volume history by market year (Frozen)",2014,May,30298,19749320,0.65,132985,91209621
"Strawberries, import value and volume history by market year (Frozen)",2014,Jun,20952,14016354,0.67,153937,105225975
"Strawberries, import value and volume history by market year (Frozen)",2014,Jul,12952,9568523,0.74,166889,114794498
"Strawberries, import value and volume history by market year (Frozen)",2014,Aug,9480,6890171,0.73,176369,121684669
"Strawberries, import value and volume history by market year (Frozen)",2014,Sep,7647,6313584,0.83,184016,127998253
"Strawberries, import value and volume history by market year (Frozen)",2014,Oct,12328,9817082,0.80,196343,137815335
"Strawberries, import value and volume history by market year (Frozen)",2014,Nov,12762,9818058,0.77,209105,147633393
"Strawberries, import value and volume history by market year (Frozen)",2014,Dec,15071,12054794,0.80,224177,159688187
"Strawberries, import value and volume history by market year (Frozen)",2015,Jan,20789,16578640,0.80,20789,16578640
"Strawberries, import value and volume history by market year (Frozen)",2015,Feb,35265,26257154,0.74,56054,42835794
"Strawberries, import value and volume history by market year (Frozen)",2015,Mar,48563,34613375,0.71,104617,77449169
"Strawberries, import value and volume history by market year (Frozen)",2015,Apr,43590,30950524,0.71,148207,108399693
"Strawberries, import value and volume history by market year (Frozen)",2015,May,37975,27895055,0.73,186182,136294748
"Strawberries, import value and volume history by market year (Frozen)",2015,Jun,27972,19098002,0.68,214154,155392750
"Strawberries, import value and volume history by market year (Frozen)",2015,Jul,17072,12443304,0.73,231226,167836054
"Strawberries, import value and volume history by market year (Frozen)",2015,Aug,12506,9323474,0.75,243732,177159528
"Strawberries, import value and volume history by market year (Frozen)",2015,Sep,11461,9546958,0.83,255193,186706486
"Strawberries, import value and volume history by market year (Frozen)",2015,Oct,13779,11042243,0.80,268973,197748729
"Strawberries, import value and volume history by market year (Frozen)",2015,Nov,12048,10581992,0.88,281021,208330721
"Strawberries, import value and volume history by market year (Frozen)",2015,Dec,17862,14601514,0.82,298884,222932235
"Strawberries, import value and volume history by market year (Frozen)",2016,Jan,20413,16878499,0.83,20413,16878499
"Strawberries, import value and volume history by market year (Frozen)",2016,Feb,25594,20243506,0.79,46007,37122005
"Strawberries, import value and volume history by market year (Frozen)",2016,Mar,51900,40352050,0.78,97907,77474055
"Strawberries, import value and volume history by market year (Frozen)",2016,Apr,48266,34568538,0.72,146173,112042593
"Strawberries, import value and volume history by market year (Frozen)",2016,May,33652,24412844,0.73,179825,136455437
"Strawberries, import value and volume history by market year (Frozen)",2016,Jun,22195,16446578,0.74,202020,152902015
"Strawberries, import value and volume history by market year (Frozen)",2016,Jul,14553,11783537,0.81,216574,164685552
"Strawberries, import value and volume history by market year (Frozen)",2016,Aug,11737,9829555,0.84,228310,174515107
"Strawberries, import value and volume history by market year (Frozen)",2016,Sep,7721,6349286,0.82,236031,180864393
"Strawberries, import value and volume history by market year (Frozen)",2016,Oct,7600,6300741,0.83,243631,187165134
"Strawberries, import value and volume history by market year (Frozen)",2016,Nov,14277,11770349,0.82,257908,198935483
"Strawberries, import value and volume history by market year (Frozen)",2016,Dec,15016,12065265,0.80,272924,211000748
"Strawberries, import value and volume history by market year (Frozen)",2017,Jan,23888,18102888,0.76,23888,18102888
"Strawberries, import value and volume history by market year (Frozen)",2017,Feb,29625,20728079,0.70,53514,38830967
"Strawberries, import value and volume history by market year (Frozen)",2017,Mar,40361,27591933,0.68,93875,66422900
"Strawberries, import value and volume history by market year (Frozen)",2017,Apr,34227,23226023,0.68,128101,89648923
"Strawberries, import value and volume history by market year (Frozen)",2017,May,30790,21240136,0.69,158891,110889059
"Strawberries, import value and volume history by market year (Frozen)",2017,Jun,23569,16660203,0.71,182460,127549262
"Strawberries, import value and volume history by market year (Frozen)",2017,Jul,13068,10191190,0.78,195528,137740452
"Strawberries, import value and volume history by market year (Frozen)",2017,Aug,8455,6703440,0.79,203983,144443892
"Strawberries, import value and volume history by market year (Frozen)",2017,Sep,7316,5673491,0.78,211299,150117383
"Strawberries, import value and volume history by market year (Frozen)",2017,Oct,7421,6086863,0.82,218721,156204246
"Strawberries, import value and volume history by market year (Frozen)",2017,Nov,11303,9326110,0.83,230024,165530356
"Strawberries, import value and volume history by market year (Frozen)",2017,Dec,11035,9009184,0.82,241058,174539540
"Strawberries, import value and volume history by market year (Frozen)",2018,Jan,14810,11124562,0.75,14810,11124562
"Strawberries, import value and volume history by market year (Frozen)",2018,Feb,19791,14969009,0.76,34600,26093571
"Strawberries, import value and volume history by market year (Frozen)",2018,Mar,35819,25834262,0.72,70419,51927833
"Strawberries, import value and volume history by market year (Frozen)",2018,Apr,33111,24083720,0.73,103530,76011553
"Strawberries, import value and volume history by market year (Frozen)",2018,May,29542,21994639,0.74,133072,98006192
"Strawberries, import value and volume history by market year (Frozen)",2018,Jun,24937,18909638,0.76,158009,116915830
"Strawberries, import value and volume history by market year (Frozen)",2018,Jul,14236,10073685,0.71,172245,126989515
"Strawberries, import value and volume history by market year (Frozen)",2018,Aug,10264,8026976,0.78,182509,135016491
"Strawberries, import value and volume history by market year (Frozen)",2018,Sep,9895,7889735,0.80,192404,142906226
"Strawberries, import value and volume history by market year (Frozen)",2018,Oct,8924,7444141,0.83,201328,150350367
"Strawberries, import value and volume history by market year (Frozen)",2018,Nov,10565,8511333,0.81,211893,158861700
"Strawberries, import value and volume history by market year (Frozen)",2018,Dec,13030,11261124,0.86,224923,170122824
"Strawberries, import value and volume history by market year (Frozen)",2019,Jan,21727,17246852,0.79,21727,17246852
"Strawberries, import value and volume history by market year (Frozen)",2019,Feb,28347,23770800,0.84,50074,41017652
"Strawberries, import value and volume history by market year (Frozen)",2019,Mar,41603,33306001,0.80,91677,74323653
"Strawberries, import value and volume history by market year (Frozen)",2019,Apr,41695,31080162,0.75,133372,105403815
"Strawberries, import value and volume history by market year (Frozen)",2019,May,38563,29677585,0.77,171935,135081400
"Strawberries, import value and volume history by market year (Frozen)",2019,Jun,22597,18377389,0.81,194532,153458789
"Strawberries, import value and volume history by market year (Frozen)",2019,Jul,17243,14125056,0.82,211775,167583845
"Strawberries, import value and volume history by market year (Frozen)",2019,Aug,10326,8396154,0.81,222101,175979999
"Strawberries, import value and volume history by market year (Frozen)",2019,Sep,8463,7104237,0.84,230564,183084236
"Strawberries, import value and volume history by market year (Frozen)",2019,Oct,9957,8275965,0.83,240520,191360201
"Strawberries, import value and volume history by market year (Frozen)",2019,Nov,14365,12782148,0.89,254886,204142349
"Strawberries, import value and volume history by market year (Frozen)",2019,Dec,24069,20822148,0.87,278954,224964497
"Strawberries, import value and volume history by market year (Frozen)",2020,Jan,26470,22750984,0.86,26470,22750984
"Strawberries, import value and volume history by market year (Frozen)",2020,Feb,25036,22422069,0.90,51507,45173053
"Strawberries, import value and volume history by market year (Frozen)",2020,Mar,46377,39671058,0.86,97884,84844111
"Strawberries, import value and volume history by market year (Frozen)",2020,Apr,43789,35423130,0.81,141673,120267241
"Strawberries, import value and volume history by market year (Frozen)",2020,May,38707,31815990,0.82,180379,152083231
"Strawberries, import value and volume history by market year (Frozen)",2020,Jun,36954,31177647,0.84,217333,183260878
"Strawberries, import value and volume history by market year (Frozen)",2020,Jul,19463,15969038,0.82,236796,199229916
"Strawberries, import value and volume history by market year (Frozen)",2020,Aug,19194,16522096,0.86,255990,215752012
"Strawberries, import value and volume history by market year (Frozen)",2020,Sep,14504,12423885,0.86,270494,228175897
"Strawberries, import value and volume history by market year (Frozen)",2020,Oct,17709,15928932,0.90,288203,244104829
"Strawberries, import value and volume history by market year (Frozen)",2020,Nov,28389,25356069,0.89,316592,269460898
"Strawberries, import value and volume history by market year (Frozen)",2020,Dec,34747,31043329,0.89,351339,300504227
"Strawberries, import value and volume history by market year (Frozen)",2021,Jan,37086,33505087,0.90,37086,33505087
"Strawberries, import value and volume history by market year (Frozen)",2021,Feb,33023,29715475,0.90,70109,63220562
"Strawberries, import value and volume history by market year (Frozen)",2021,Mar,56477,50878857,0.90,126586,114099419
"Strawberries, import value and volume history by market year (Frozen)",2021,Apr,50334,44855726,0.89,176920,158955145
"Strawberries, import value and volume history by market year (Frozen)",2021,May,45795,40864313,0.89,222715,199819458
"Strawberries, import value and volume history by market year (Frozen)",2021,Jun,53866,47511525,0.88,276581,247330983
"Strawberries, import value and volume history by market year (Frozen)",2021,Jul,34678,30512659,0.88,311259,277843642
"Strawberries, import value and volume history by market year (Frozen)",2021,Aug,26641,23840893,0.89,337900,301684535
"Strawberries, import value and volume history by market year (Frozen)",2021,Sep,16550,15165727,0.92,354449,316850262
"Strawberries, import value and volume history by market year (Frozen)",2021,Oct,19217,17952878,0.93,373666,334803140
"Strawberries, import value and volume history by market year (Frozen)",2021,Nov,26706,24537321,0.92,400373,359340461
"Strawberries, import value and volume history by market year (Frozen)",2021,Dec,24844,25167299,1.01,425217,384507760
"Strawberries, import value and volume history by market year (Frozen)",2022,Jan,33883,32110691,0.95,33883,32110691
"Strawberries, import value and volume history by market year (Frozen)",2022,Feb,32287,31130554,0.96,66170,63241245